,location,size,total_sqft,bath,price,bhk
1824,Doddaballapur,4 Bedroom,3206.0,5.0,270.0,4
1825,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2
1830,Doddakallasandra,2 BHK,1010.0,2.0,40.39,2
1831,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2
1832,Doddakallasandra,2 BHK,1010.0,2.0,40.4,2
1833,Doddakallasandra,2 BHK,1010.0,2.0,41.0,2
1834,Doddakallasandra,2 BHK,1072.0,2.0,42.87,2
1835,Doddathoguru,2 BHK,970.0,2.0,33.0,2
1836,Doddathoguru,2 BHK,1050.0,2.0,32.0,2
1837,Doddathoguru,2 BHK,850.0,2.0,25.0,2
1838,Doddathoguru,2 BHK,1030.0,2.0,42.0,2
1839,Doddathoguru,3 BHK,1549.0,3.0,65.0,3
1841,Doddathoguru,1 BHK,550.0,1.0,17.0,1
1842,Doddathoguru,2 BHK,1015.0,2.0,33.5,2
1843,Doddathoguru,2 BHK,1104.0,2.0,39.0,2
1844,Doddathoguru,2 BHK,915.0,2.0,32.0,2
1845,Doddathoguru,1 BHK,750.0,1.0,25.5,1
1846,Doddathoguru,3 BHK,1595.0,3.0,62.0,3
1847,Doddathoguru,2 BHK,855.0,2.0,32.0,2
1848,Doddathoguru,2 BHK,1105.0,2.0,50.0,2
1849,Doddathoguru,2 BHK,925.0,2.0,30.0,2
1851,Doddathoguru,3 BHK,1208.0,3.0,45.0,3
1852,Doddathoguru,2 BHK,1100.0,2.0,50.0,2
1853,Doddathoguru,2 BHK,940.0,2.0,32.9,2
1854,Doddathoguru,3 BHK,1382.0,3.0,65.0,3
1855,Doddathoguru,2 BHK,1107.0,2.0,44.0,2
1856,Doddathoguru,2 BHK,907.0,2.0,40.0,2
1857,Doddathoguru,3 BHK,1783.0,3.0,85.0,3
1858,Doddathoguru,1 BHK,550.0,1.0,17.0,1
1859,Domlur,3 BHK,1540.0,3.0,90.0,3
1860,Domlur,3 BHK,1875.0,2.0,150.0,3
1861,Domlur,3 BHK,1429.0,3.0,86.0,3
1862,Domlur,1 BHK,640.0,1.0,55.0,1
1863,Domlur,2 BHK,1050.0,2.0,85.0,2
1864,Domlur,3 BHK,1800.0,3.0,150.0,3
1865,Domlur,3 BHK,1720.0,3.0,135.0,3
1866,Domlur,3 BHK,1950.0,3.0,165.0,3
1867,Domlur,3 BHK,2180.0,3.0,285.0,3
1868,Domlur,1 BHK,650.0,1.0,70.0,1
1869,Domlur,1 BHK,780.0,1.0,70.0,1
1870,Domlur,3 BHK,2180.0,3.0,285.0,3
1871,Domlur,3 BHK,1740.0,3.0,120.0,3
1872,Domlur,3 BHK,1695.0,3.0,125.0,3
1873,Domlur,2 BHK,1246.0,2.0,95.0,2
1874,Domlur,3 BHK,2100.0,3.0,145.0,3
1875,Domlur,2 BHK,1276.0,2.0,80.0,2
1876,Domlur,3 BHK,1850.0,3.0,180.0,3
1877,Domlur,3 BHK,2955.0,3.0,235.0,3
1878,Domlur,3 BHK,1650.0,3.0,180.0,3
1879,Dommasandra,2 BHK,805.0,2.0,22.14,2
1881,Dommasandra,3 BHK,1267.0,3.0,56.0,3
1882,Dommasandra,2 BHK,1200.0,2.0,50.0,2
1883,Dommasandra,4 Bedroom,2700.0,3.0,68.0,4
1885,Dommasandra,2 BHK,1153.0,2.0,43.5,2
1886,Dommasandra,2 Bedroom,1500.0,2.0,40.0,2
1887,Dommasandra,2 BHK,1090.0,2.0,43.5,2
1888,Dommasandra,2 BHK,850.0,2.0,25.4,2
1889,Dommasandra,2 BHK,674.0,1.0,19.9,2
1890,Dommasandra,2 BHK,999.0,2.0,32.9,2
1891,EPIP Zone,3 BHK,1499.0,5.0,102.0,3
1892,EPIP Zone,2 BHK,1285.0,2.0,82.0,2
1893,EPIP Zone,3 BHK,2330.0,3.0,162.0,3
1894,EPIP Zone,2 BHK,1330.0,2.0,92.5,2
1895,EPIP Zone,2 BHK,1330.0,2.0,86.98,2
1896,EPIP Zone,2 BHK,1330.0,2.0,93.36,2
1898,EPIP Zone,3 BHK,1500.0,3.0,102.0,3
1899,EPIP Zone,2 BHK,1280.0,2.0,69.0,2
1900,EPIP Zone,2 BHK,1125.0,2.0,65.0,2
1901,EPIP Zone,3 BHK,1734.0,3.0,125.0,3
1903,EPIP Zone,2 BHK,1343.0,2.0,86.0,2
1904,EPIP Zone,3 BHK,2350.0,4.0,163.0,3
1905,EPIP Zone,3 BHK,1860.0,3.0,130.0,3
1906,EPIP Zone,3 BHK,2210.0,3.0,165.0,3
1907,EPIP Zone,3 BHK,2710.0,3.0,177.0,3
1910,Electronic City,3 BHK,1025.0,2.0,47.0,3
1913,Electronic City,3 BHK,1500.0,2.0,64.5,3
1914,Electronic City,2 BHK,1060.0,2.0,60.0,2
1915,Electronic City,2 BHK,1152.0,2.0,64.5,2
1917,Electronic City,2 BHK,770.0,1.0,36.0,2
1918,Electronic City,2 BHK,1070.0,2.0,52.0,2
1919,Electronic City,2 BHK,1025.0,2.0,46.0,2
1920,Electronic City,1 BHK,589.0,1.0,27.0,1
1922,Electronic City,2 BHK,910.0,2.0,40.0,2
1923,Electronic City,2 BHK,1108.0,2.0,63.0,2
1924,Electronic City,2 BHK,1128.0,2.0,65.0,2
1925,Electronic City,3 BHK,1800.0,3.0,95.0,3
1926,Electronic City,1 BHK,630.0,1.0,34.65,1
1927,Electronic City,2 BHK,1128.0,2.0,63.0,2
1928,Electronic City,3 BHK,1599.0,3.0,99.0,3
1931,Electronic City,2 BHK,1070.0,2.0,55.0,2
1932,Electronic City,2 BHK,940.0,2.0,41.0,2
1934,Electronic City,2 BHK,1128.0,2.0,68.75,2
1935,Electronic City,2 BHK,1342.0,2.0,73.3,2
1936,Electronic City,3 BHK,1360.0,2.0,71.0,3
1938,Electronic City,2 BHK,1265.0,2.0,56.93,2
1939,Electronic City,3 BHK,1691.0,2.0,102.0,3
1940,Electronic City,2 BHK,1128.0,2.0,65.49,2
1943,Electronic City,2 BHK,1070.0,2.0,56.1,2
1944,Electronic City,4 Bedroom,2000.0,4.0,120.0,4
1945,Electronic City,2 BHK,890.0,2.0,45.0,2
1946,Electronic City,2 BHK,1128.0,2.0,65.65,2
1947,Electronic City,2 BHK,865.0,2.0,42.0,2
1949,Electronic City,2 BHK,910.0,2.0,42.0,2
1951,Electronic City,3 BHK,1360.0,2.0,75.0,3
1952,Electronic City,2 BHK,770.0,1.0,40.0,2
1953,Electronic City,2 BHK,1128.0,2.0,64.0,2
1954,Electronic City,2 BHK,1070.0,2.0,54.0,2
1956,Electronic City,3 BHK,1571.0,3.0,89.0,3
1957,Electronic City,3 BHK,1111.0,3.0,50.0,3
1958,Electronic City,2 BHK,870.0,2.0,39.5,2
1960,Electronic City,3 BHK,1374.0,2.0,72.0,3
1962,Electronic City,2 BHK,1128.0,2.0,65.35,2
1963,Electronic City,2 BHK,1128.0,2.0,65.0,2
1964,Electronic City,2 BHK,755.0,1.0,34.0,2
1968,Electronic City,3 BHK,1563.0,3.0,91.84,3
1969,Electronic City,3 BHK,1652.0,3.0,70.0,3
1971,Electronic City,2 BHK,1025.0,2.0,54.5,2
1973,Electronic City,3 BHK,1350.0,3.0,58.0,3
1976,Electronic City,3 BHK,1700.0,3.0,75.0,3
1978,Electronic City,2 BHK,1128.0,2.0,68.0,2
1979,Electronic City,1 BHK,700.0,1.0,35.0,1
1980,Electronic City,3 BHK,1360.0,2.0,70.5,3
1982,Electronic City,3 BHK,1571.0,3.0,105.0,3
1986,Electronic City,3 BHK,1600.0,3.0,104.0,3
1988,Electronic City,3 BHK,1500.0,2.0,100.0,3
1992,Electronic City,2 BHK,1152.0,2.0,65.0,2
1993,Electronic City,2 BHK,1070.0,2.0,60.0,2
1994,Electronic City,2 BHK,1128.0,2.0,65.5,2
1995,Electronic City,2 BHK,1200.0,2.0,59.0,2
1996,Electronic City,2 BHK,1152.0,2.0,65.75,2
1998,Electronic City,2 BHK,1070.0,2.0,55.0,2
1999,Electronic City,2 BHK,1060.0,2.0,58.0,2
2000,Electronic City,2 BHK,1025.0,2.0,54.1,2
2005,Electronic City,3 BHK,1500.0,2.0,78.0,3
2006,Electronic City,2 BHK,1213.0,2.0,59.32,2
2007,Electronic City,3 BHK,1575.0,3.0,90.0,3
2008,Electronic City,1 RK,435.0,1.0,19.5,1
2009,Electronic City,3 BHK,1449.0,3.0,100.0,3
2011,Electronic City,2 BHK,1125.0,2.0,58.0,2
2013,Electronic City,3 BHK,1575.0,3.0,101.0,3
2015,Electronic City,1 BHK,550.0,1.0,12.0,1
2016,Electronic City,2 BHK,919.0,2.0,40.0,2
2017,Electronic City,3 BHK,1500.0,2.0,78.25,3
2018,Electronic City,2 BHK,1363.0,2.0,79.0,2
2021,Electronic City,2 BHK,1108.0,2.0,67.15,2
2023,Electronic City,2 BHK,1128.0,2.0,65.7,2
2025,Electronic City,2 BHK,1060.0,2.0,51.0,2
2027,Electronic City,3 BHK,1650.0,3.0,100.0,3
2029,Electronic City,2 BHK,1025.0,2.0,49.0,2
2031,Electronic City,3 BHK,1449.0,3.0,90.0,3
2033,Electronic City,2 BHK,1070.0,2.0,58.0,2
2034,Electronic City,2 BHK,1210.0,2.0,54.0,2
2035,Electronic City,3 BHK,1500.0,2.0,75.0,3
2037,Electronic City,2 BHK,1070.0,2.0,52.0,2
2038,Electronic City,4 BHK,2435.0,4.0,119.0,4
2043,Electronic City,2 BHK,1073.0,2.0,60.0,2
2044,Electronic City,3 BHK,1500.0,2.0,78.0,3
2045,Electronic City,2 BHK,1070.0,2.0,47.0,2
2046,Electronic City,2 BHK,1296.0,2.0,65.0,2
2047,Electronic City,2 BHK,1140.0,2.0,70.93,2
2053,Electronic City,4 BHK,2093.0,4.0,104.0,4
2054,Electronic City,2 BHK,1025.0,2.0,53.9,2
2055,Electronic City,2 BHK,940.0,2.0,54.0,2
2056,Electronic City,1 BHK,435.0,1.0,21.0,1
2057,Electronic City,3 BHK,1500.0,2.0,77.5,3
2058,Electronic City,3 BHK,1631.0,3.0,80.0,3
2059,Electronic City,2 BHK,1355.0,2.0,67.0,2
2062,Electronic City,1 BHK,435.0,1.0,22.0,1
2064,Electronic City,2 BHK,1039.0,2.0,50.0,2
2065,Electronic City,2 BHK,770.0,1.0,39.9,2
2067,Electronic City,2 BHK,1128.0,2.0,64.0,2
2068,Electronic City,1 BHK,605.0,1.0,13.31,1
2070,Electronic City,1 BHK,530.0,1.0,13.5,1
2071,Electronic City,2 BHK,1070.0,2.0,53.0,2
2074,Electronic City,3 BHK,1571.0,3.0,83.0,3
2076,Electronic City,3 BHK,1350.0,3.0,66.0,3
2077,Electronic City,3 BHK,1652.0,3.0,110.0,3
2081,Electronic City,2 BHK,1128.0,2.0,65.58,2
2082,Electronic City,1 BHK,635.0,1.0,28.0,1
2083,Electronic City,2 BHK,1128.0,2.0,65.4,2
2086,Electronic City,2 BHK,1355.0,2.0,72.9,2
2090,Electronic City,2 BHK,770.0,1.0,35.0,2
2092,Electronic City,2 BHK,865.0,2.0,40.0,2
2095,Electronic City,2 BHK,1108.0,2.0,63.0,2
2096,Electronic City,1 BHK,630.0,1.0,40.5,1
2099,Electronic City,1 BHK,605.0,1.0,22.0,1
2101,Electronic City,2 BHK,1070.0,2.0,48.0,2
2103,Electronic City,3 BHK,1360.0,2.0,70.0,3
2104,Electronic City,1 BHK,635.0,1.0,28.0,1
2105,Electronic City,2 BHK,1128.0,2.0,65.45,2
2106,Electronic City,2 BHK,890.0,2.0,40.0,2
2111,Electronic City,3 BHK,1360.0,2.0,58.0,3
2114,Electronic City,1 BHK,630.0,1.0,33.7,1
2118,Electronic City,3 Bedroom,1400.0,3.0,90.0,3
2119,Electronic City,3 BHK,1287.0,3.0,55.0,3
2120,Electronic City,2 BHK,1258.0,2.0,85.5,2
2121,Electronic City,2 BHK,1386.0,2.0,85.0,2
2122,Electronic City,1 RK,550.0,1.0,27.0,1
2123,Electronic City,2 BHK,1025.0,2.0,50.0,2
2125,Electronic City,2 BHK,1070.0,2.0,55.0,2
2126,Electronic City,2 BHK,1342.0,2.0,72.0,2
2127,Electronic City,3 BHK,1275.0,3.0,70.0,3
2128,Electronic City,2 BHK,770.0,1.0,38.0,2
2133,Electronic City,3 BHK,1644.0,3.0,92.59,3
2134,Electronic City,2 BHK,1250.0,2.0,62.0,2
2137,Electronic City,1 BHK,418.0,1.0,12.0,1
2138,Electronic City,2 BHK,1128.0,2.0,64.8,2
2141,Electronic City,2 BHK,1060.0,2.0,55.0,2
2142,Electronic City,1 BHK,710.0,1.0,40.42,1
2145,Electronic City,3 BHK,1275.0,3.0,63.43,3
2146,Electronic City,3 BHK,1518.0,3.0,75.0,3
2147,Electronic City,1 BHK,1090.0,2.0,31.48,1
2150,Electronic City,2 BHK,1060.0,2.0,55.0,2
2152,Electronic City,2 BHK,1353.0,2.0,75.0,2
2154,Electronic City,2 BHK,1128.0,2.0,67.0,2
2155,Electronic City,2 BHK,1070.0,2.0,57.0,2
2156,Electronic City,3 BHK,1700.0,3.0,90.0,3
2158,Electronic City,1 BHK,750.0,1.0,35.0,1
2159,Electronic City,2 BHK,1210.0,2.0,55.0,2
2160,Electronic City,2 BHK,1070.0,2.0,60.0,2
2165,Electronic City,3 BHK,1615.0,3.0,97.0,3
2167,Electronic City,2 BHK,1221.0,2.0,68.0,2
2169,Electronic City,3 Bedroom,1500.0,3.0,73.0,3
2170,Electronic City,2 BHK,995.0,2.0,48.0,2
2171,Electronic City,2 BHK,1342.0,2.0,90.0,2
2173,Electronic City,2 BHK,1128.0,2.0,63.5,2
2174,Electronic City,1 BHK,589.0,1.0,29.0,1
2177,Electronic City,3 BHK,1575.0,3.0,94.5,3
2178,Electronic City,2 BHK,1070.0,2.0,48.0,2
2179,Electronic City,2 BHK,1025.0,2.0,54.0,2
2180,Electronic City,3 BHK,1500.0,2.0,70.0,3
2181,Electronic City,3 BHK,1500.0,2.0,64.5,3
2183,Electronic City,4 BHK,2093.0,4.0,134.0,4
2185,Electronic City,2 BHK,1355.0,2.0,73.0,2
2186,Electronic City,3 BHK,1360.0,2.0,64.99,3
2187,Electronic City,2 BHK,1060.0,2.0,52.0,2
2188,Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2
2189,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2
2190,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2
2191,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1
2193,Electronic City Phase II,2 BHK,1000.0,2.0,25.0,2
2194,Electronic City Phase II,2 BHK,1090.0,2.0,28.34,2
2195,Electronic City Phase II,4 BHK,2225.0,4.0,98.88,4
2197,Electronic City Phase II,2 BHK,775.0,2.0,38.0,2
2198,Electronic City Phase II,2 BHK,1266.0,2.0,59.0,2
2199,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2202,Electronic City Phase II,2 BHK,972.0,2.0,44.0,2
2204,Electronic City Phase II,2 BHK,1031.0,2.0,55.0,2
2205,Electronic City Phase II,2 BHK,1003.0,2.0,40.6,2
2206,Electronic City Phase II,2 BHK,1031.0,2.0,56.35,2
2208,Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3
2209,Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2
2210,Electronic City Phase II,2 BHK,1065.0,2.0,30.75,2
2211,Electronic City Phase II,2 BHK,1219.0,2.0,61.25,2
2213,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2214,Electronic City Phase II,3 BHK,1790.0,3.0,100.0,3
2215,Electronic City Phase II,2 BHK,769.0,2.0,40.0,2
2217,Electronic City Phase II,2 BHK,900.0,2.0,32.5,2
2220,Electronic City Phase II,3 BHK,993.0,2.0,50.0,3
2221,Electronic City Phase II,3 BHK,1418.0,3.0,52.47,3
2222,Electronic City Phase II,2 BHK,1070.0,2.0,45.0,2
2225,Electronic City Phase II,2 BHK,1140.0,2.0,33.06,2
2226,Electronic City Phase II,2 BHK,1089.0,2.0,32.67,2
2227,Electronic City Phase II,2 BHK,1031.0,2.0,55.0,2
2228,Electronic City Phase II,2 BHK,1253.0,2.0,65.8,2
2230,Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2
2231,Electronic City Phase II,3 BHK,975.0,2.0,45.0,3
2232,Electronic City Phase II,4 Bedroom,6000.0,4.0,260.0,4
2233,Electronic City Phase II,2 BHK,1116.0,2.0,37.0,2
2234,Electronic City Phase II,2 BHK,1125.0,2.0,29.25,2
2235,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2236,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2237,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2238,Electronic City Phase II,2 BHK,1165.0,2.0,30.29,2
2239,Electronic City Phase II,4 Bedroom,3550.0,2.0,167.5,4
2240,Electronic City Phase II,2 BHK,1031.0,2.0,53.0,2
2242,Electronic City Phase II,2 BHK,1065.0,2.0,30.88,2
2244,Electronic City Phase II,3 BHK,1549.0,3.0,80.0,3
2245,Electronic City Phase II,2 BHK,1065.0,2.0,56.13,2
2247,Electronic City Phase II,2 BHK,920.0,2.0,26.0,2
2248,Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2
2249,Electronic City Phase II,2 BHK,1219.0,2.0,61.26,2
2250,Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3
2251,Electronic City Phase II,2 BHK,1125.0,2.0,32.49,2
2253,Electronic City Phase II,2 BHK,1286.0,2.0,69.0,2
2255,Electronic City Phase II,2 BHK,1140.0,2.0,32.92,2
2256,Electronic City Phase II,2 BHK,1116.0,2.0,40.0,2
2257,Electronic City Phase II,3 BHK,1150.0,3.0,46.0,3
2258,Electronic City Phase II,3 BHK,1192.0,2.0,47.0,3
2260,Electronic City Phase II,2 BHK,1020.0,2.0,32.0,2
2261,Electronic City Phase II,4 Bedroom,1900.0,3.0,97.0,4
2262,Electronic City Phase II,2 BHK,1020.0,2.0,27.43,2
2263,Electronic City Phase II,2 BHK,1025.0,2.0,26.65,2
2264,Electronic City Phase II,2 BHK,1020.0,2.0,29.45,2
2265,Electronic City Phase II,2 BHK,1000.0,2.0,28.88,2
2267,Electronic City Phase II,2 BHK,1140.0,2.0,28.5,2
2268,Electronic City Phase II,2 BHK,1125.0,2.0,32.49,2
2269,Electronic City Phase II,2 BHK,1200.0,2.0,34.65,2
2270,Electronic City Phase II,2 BHK,1160.0,2.0,52.2,2
2271,Electronic City Phase II,2 BHK,1244.0,2.0,55.0,2
2272,Electronic City Phase II,2 BHK,1160.0,2.0,33.51,2
2275,Electronic City Phase II,2 BHK,972.0,2.0,40.0,2
2276,Electronic City Phase II,2 BHK,1160.0,2.0,33.51,2
2278,Electronic City Phase II,2 BHK,1090.0,2.0,31.48,2
2279,Electronic City Phase II,2 BHK,1140.0,2.0,32.92,2
2280,Electronic City Phase II,1 BHK,650.0,1.0,35.0,1
2281,Electronic City Phase II,2 BHK,1155.0,2.0,57.0,2
2282,Electronic City Phase II,3 BHK,1800.0,3.0,92.0,3
2283,Electronic City Phase II,2 BHK,1300.0,2.0,28.0,2
2284,Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2
2285,Electronic City Phase II,2 BHK,1025.0,2.0,29.6,2
2286,Electronic City Phase II,2 BHK,829.0,2.0,22.8,2
2287,Electronic City Phase II,4 BHK,2187.5,4.0,105.0,4
2288,Electronic City Phase II,2 BHK,1252.0,2.0,67.0,2
2290,Electronic City Phase II,2 BHK,1125.0,2.0,32.63,2
2291,Electronic City Phase II,2 BHK,1140.0,2.0,34.0,2
2294,Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3
2295,Electronic City Phase II,2 BHK,1135.0,2.0,46.0,2
2296,Electronic City Phase II,3 BHK,1305.0,3.0,65.0,3
2297,Electronic City Phase II,2 BHK,1165.0,2.0,33.64,2
2299,Electronic City Phase II,3 BHK,1336.0,2.0,50.35,3
2300,Electronic City Phase II,1 BHK,575.0,1.0,16.75,1
2301,Electronic City Phase II,3 BHK,925.0,2.0,49.82,3
2302,Electronic City Phase II,2 BHK,1065.0,2.0,30.76,2
2303,Electronic City Phase II,2 BHK,1065.0,2.0,30.75,2
2304,Electronic City Phase II,2 BHK,1140.0,2.0,33.06,2
2305,Electronic City Phase II,2 BHK,911.0,2.0,26.5,2
2306,Electronic City Phase II,2 BHK,1200.0,2.0,34.65,2
2307,Electronic City Phase II,2 BHK,1031.0,2.0,54.48,2
2311,Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3
2312,Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3
2313,Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2
2314,Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3
2321,Electronics City Phase 1,2 BHK,1015.0,2.0,56.0,2
2323,Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3
2324,Electronics City Phase 1,2 BHK,995.0,2.0,46.0,2
2325,Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,3
2326,Electronics City Phase 1,2 BHK,1340.0,2.0,75.0,2
2327,Electronics City Phase 1,3 BHK,1124.0,2.0,55.0,3
2328,Electronics City Phase 1,2 BHK,1175.0,2.0,57.0,2
2329,Electronics City Phase 1,1 BHK,755.0,1.0,42.41,1
2330,Electronics City Phase 1,1 BHK,580.0,1.0,27.0,1
2331,Electronics City Phase 1,2 BHK,940.0,2.0,49.0,2
2332,Electronics City Phase 1,2 BHK,1335.0,2.0,67.0,2
2333,Electronics City Phase 1,2 BHK,1113.12,2.0,55.0,2
2335,Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3
2337,Electronics City Phase 1,2 BHK,995.0,2.0,49.8,2
2338,Electronics City Phase 1,1 BHK,635.0,1.0,26.0,1
2339,Electronics City Phase 1,2 BHK,1190.0,2.0,68.0,2
2341,Electronics City Phase 1,3 BHK,1450.0,3.0,72.54,3
2342,Electronics City Phase 1,1 RK,360.0,1.0,16.9,1
2343,Electronics City Phase 1,1 BHK,638.0,1.0,32.0,1
2344,Electronics City Phase 1,2 BHK,1175.0,2.0,64.98,2
2345,Electronics City Phase 1,1 BHK,585.0,1.0,21.0,1
2346,Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2
2347,Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2
2348,Electronics City Phase 1,2 BHK,1125.0,2.0,65.0,2
2350,Electronics City Phase 1,3 BHK,1550.0,2.0,82.0,3
2352,Electronics City Phase 1,2 BHK,865.0,2.0,40.0,2
2356,Electronics City Phase 1,3 BHK,1800.0,3.0,93.0,3
2357,Electronics City Phase 1,2 BHK,1314.0,2.0,60.0,2
2358,Electronics City Phase 1,2 BHK,1170.0,2.0,62.0,2
2359,Electronics City Phase 1,3 BHK,1450.0,3.0,79.0,3
2360,Electronics City Phase 1,2 BHK,940.0,2.0,48.0,2
2361,Electronics City Phase 1,2 BHK,940.0,2.0,44.0,2
2362,Electronics City Phase 1,2 BHK,1300.0,2.0,67.0,2
2363,Electronics City Phase 1,2 BHK,1028.0,2.0,51.0,2
2365,Electronics City Phase 1,2 BHK,1205.0,2.0,60.0,2
2367,Electronics City Phase 1,2 BHK,1305.0,2.0,67.0,2
2368,Electronics City Phase 1,1 BHK,755.0,1.0,30.12,1
2369,Electronics City Phase 1,2 BHK,1175.0,2.0,60.0,2
2370,Frazer Town,3 BHK,1700.0,3.0,180.0,3
2371,Frazer Town,3 BHK,1305.0,3.0,95.45,3
2372,Frazer Town,3 BHK,1870.0,3.0,185.0,3
2373,Frazer Town,3 BHK,1750.0,3.0,150.0,3
2375,Frazer Town,3 BHK,2000.0,3.0,200.0,3
2376,Frazer Town,3 BHK,3500.0,4.0,330.0,3
2377,Frazer Town,3 BHK,2350.0,4.0,285.0,3
2378,Frazer Town,2 BHK,1550.0,2.0,140.0,2
2379,Frazer Town,3 BHK,1900.0,4.0,145.0,3
2380,Frazer Town,3 BHK,2560.0,3.0,265.0,3
2381,Frazer Town,3 BHK,2400.0,3.0,260.0,3
2382,Frazer Town,3 BHK,2560.0,3.0,288.0,3
2383,Frazer Town,4 BHK,3436.0,5.0,341.0,4
2385,Frazer Town,2 BHK,1315.0,2.0,140.0,2
2386,Frazer Town,3 BHK,1706.0,3.0,154.0,3
2387,Frazer Town,3 BHK,2079.0,3.0,220.0,3
2388,Frazer Town,4 BHK,3435.0,2.0,341.0,4
2389,Frazer Town,4 BHK,3436.0,5.0,345.0,4
2390,Frazer Town,3 BHK,3100.0,3.0,400.0,3
2391,Frazer Town,3 BHK,5400.0,3.0,400.0,3
2392,Frazer Town,2 BHK,1180.0,2.0,105.0,2
2393,Frazer Town,4 BHK,2900.0,4.0,325.0,4
2394,Frazer Town,3 BHK,1870.0,3.0,180.0,3
2395,Frazer Town,1 Bedroom,896.0,1.0,100.0,1
2396,Frazer Town,2 BHK,1420.0,2.0,120.0,2
2397,GM Palaya,3 BHK,1820.0,2.0,86.0,3
2398,GM Palaya,2 BHK,1225.0,2.0,47.0,2
2399,GM Palaya,2 BHK,1140.0,2.0,48.95,2
2400,GM Palaya,3 BHK,1315.0,2.0,65.0,3
2401,GM Palaya,3 BHK,1315.0,3.0,65.0,3
2402,GM Palaya,3 BHK,1315.0,3.0,64.0,3
2403,GM Palaya,3 BHK,1735.0,3.0,70.0,3
2404,GM Palaya,3 BHK,1643.0,2.0,70.0,3
2405,Garudachar Palya,3 BHK,1325.0,2.0,60.8,3
2406,Garudachar Palya,2 BHK,1060.0,2.0,48.7,2
2407,Garudachar Palya,2 BHK,1150.0,2.0,52.75,2
2408,Garudachar Palya,3 BHK,1295.0,2.0,59.5,3
2409,Garudachar Palya,3 BHK,1320.0,2.0,60.6,3
2410,Garudachar Palya,3 BHK,1295.0,2.0,59.5,3
2411,Garudachar Palya,2 BHK,1150.0,2.0,52.8,2
2412,Garudachar Palya,2 BHK,1150.0,2.0,52.8,2
2413,Garudachar Palya,2 BHK,1060.0,2.0,48.5,2
2414,Garudachar Palya,2 BHK,1150.0,2.0,52.5,2
2415,Garudachar Palya,3 BHK,1325.0,2.0,60.8,3
2416,Garudachar Palya,2 BHK,1060.0,2.0,48.66,2
2417,Garudachar Palya,2 BHK,1150.0,2.0,52.0,2
2418,Garudachar Palya,2 BHK,1154.0,2.0,51.8,2
2420,Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4
2421,Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3
2422,Giri Nagar,3 Bedroom,1350.0,3.0,240.0,3
2423,Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4
2424,Giri Nagar,6 Bedroom,3000.0,4.0,375.0,6
2425,Giri Nagar,6 Bedroom,2400.0,6.0,400.0,6
2426,Giri Nagar,4 Bedroom,4000.0,3.0,750.0,4
2427,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2
2428,Gollarapalya Hosahalli,3 BHK,1408.0,3.0,62.0,3
2429,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2
2430,Gollarapalya Hosahalli,3 BHK,1318.0,3.0,54.0,3
2431,Gollarapalya Hosahalli,2 BHK,861.0,2.0,36.5,2
2432,Gollarapalya Hosahalli,3 BHK,1320.0,3.0,60.0,3
2433,Gollarapalya Hosahalli,3 BHK,1345.0,3.0,60.0,3
2434,Gollarapalya Hosahalli,4 BHK,1905.0,3.0,86.0,4
2435,Gollarapalya Hosahalli,3 BHK,1318.0,3.0,56.0,3
2436,Gollarapalya Hosahalli,2 BHK,1129.0,2.0,50.0,2
2437,Gottigere,2 BHK,1100.0,2.0,40.0,2
2438,Gottigere,2 BHK,967.0,2.0,45.0,2
2439,Gottigere,3 BHK,1618.0,3.0,82.5,3
2440,Gottigere,2 BHK,1222.0,2.0,63.0,2
